Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
524,Javier Saviola,ar ARG,FW,Hellas Verona,32,1981,15,4,465,5.2,1,2,3,1,0,0,1,0,0.19,0.39,0.58,0.19,0.58,Matches
525,Lionel Scaloni,ar ARG,"DF,MF",Atalanta,36,1978,3,1,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
526,Ezequiel Schelotto,it ITA,"DF,MF",Chievo,25,1989,29,26,"2,119",23.5,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
527,Simone Scuffet,it ITA,GK,Udinese,18,1996,2,1,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
528,Luigi Sepe,it ITA,GK,Empoli,23,1991,31,31,"2,790",31,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
529,Stephan El Shaarawy,it ITA,"DF,FW",Milan,21,1992,18,14,"1,194",13.3,3,3,6,3,0,0,3,0,0.23,0.23,0.45,0.23,0.45,Matches
530,Xherdan Shaqiri,ch SUI,"FW,MF",Inter,22,1991,15,8,747,8.3,1,2,3,0,1,1,3,0,0.12,0.24,0.36,0,0.24,Matches
531,Franco Signorelli,ve VEN,MF,Empoli,23,1991,13,4,518,5.8,1,0,1,1,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
532,Gabriel Silva,br BRA,"DF,MF",Udinese,23,1991,11,8,619,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
533,Gastón Silva,uy URU,DF,Torino,20,1994,5,4,324,3.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
534,João Silva,pt POR,FW,Palermo,24,1990,1,0,30,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
535,Matías Silvestre,ar ARG,DF,Sampdoria,29,1984,29,28,"2,508",27.9,0,2,2,0,0,0,7,0,0,0.07,0.07,0,0.07,Matches
536,Maicon Sisenando,br BRA,DF,Roma,33,1981,14,11,985,10.9,1,1,2,1,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches
537,Łukasz Skorupski,pl POL,GK,Roma,23,1991,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
538,Michele Somma,it ITA,DF,Empoli,19,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
539,Michele Somma,it ITA,DF,Roma,19,1995,1,0,43,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
540,Roberto Soriano,it ITA,MF,Sampdoria,23,1991,33,29,"2,525",28.1,4,2,6,4,0,0,11,0,0.14,0.07,0.21,0.14,0.21,Matches
541,Stefano Sorrentino,it ITA,GK,Palermo,35,1979,35,35,"3,150",35,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
542,Lucas Souza,br BRA,MF,Parma,24,1990,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
543,Leonardo Spinazzola,it ITA,"DF,MF",Atalanta,21,1993,2,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
544,Nicolás Spolli,ar ARG,DF,Roma,31,1983,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
545,Marco Sportiello,it ITA,GK,Atalanta,22,1992,37,37,"3,330",37,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
546,Guglielmo Stendardo,it ITA,DF,Atalanta,33,1981,24,23,"2,093",23.3,2,0,2,2,0,0,5,0,0.09,0,0.09,0.09,0.09,Matches
547,Marco Storari,it ITA,GK,Juventus,37,1977,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
548,Ivan Strinić,hr CRO,DF,Napoli,27,1987,9,9,805,8.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
549,Kevin Strootman,nl NED,MF,Roma,24,1990,6,4,319,3.5,0,2,2,0,0,0,1,0,0,0.56,0.56,0,0.56,Matches
550,Stefano Sturaro,it ITA,MF,Genoa,21,1993,13,13,"1,060",11.8,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
551,Stefano Sturaro,it ITA,MF,Juventus,21,1993,12,8,711,7.9,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
552,Davide Succi,it ITA,FW,Cesena,32,1981,9,4,332,3.7,2,0,2,2,0,0,2,0,0.54,0,0.54,0.54,0.54,Matches
553,Suso,es ESP,"FW,MF",Milan,20,1993,5,2,223,2.5,0,1,1,0,0,0,0,1,0,0.4,0.4,0,0.4,Matches
554,Frederik Sørensen,dk DEN,DF,Hellas Verona,22,1992,10,6,642,7.1,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
555,Andrea Tabanelli,it ITA,MF,Cesena,24,1990,7,3,302,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
556,Panagiotis Tachtsidis,gr GRE,MF,Hellas Verona,23,1991,34,34,"2,964",32.9,3,2,5,3,0,0,9,0,0.09,0.06,0.15,0.09,0.15,Matches
557,Saphir Taïder,dz ALG,MF,Sassuolo,22,1992,27,19,"1,683",18.7,3,3,6,3,0,0,6,0,0.16,0.16,0.32,0.16,0.32,Matches
558,Alassane També,ml MLI,DF,Genoa,22,1992,6,2,143,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
559,Ciprian Tătărușanu,ro ROU,GK,Fiorentina,28,1986,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
560,Francesco Tavano,it ITA,FW,Empoli,35,1979,26,15,"1,336",14.8,2,1,3,1,1,1,1,0,0.13,0.07,0.2,0.07,0.13,Matches
561,Emanuele Terranova,it ITA,DF,Sassuolo,27,1987,9,9,754,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
562,Claudio Terzi,it ITA,DF,Palermo,30,1984,15,14,"1,291",14.3,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
563,Carlos Tevez,ar ARG,"FW,MF",Juventus,30,1984,32,29,"2,580",28.7,20,7,27,18,2,4,6,0,0.7,0.24,0.94,0.63,0.87,Matches
564,Cyril Théréau,fr FRA,FW,Udinese,31,1983,37,25,"2,476",27.5,10,0,10,10,0,0,4,0,0.36,0,0.36,0.36,0.36,Matches
565,Nenad Tomović,rs SRB,DF,Fiorentina,26,1987,24,22,"2,012",22.4,1,2,3,1,0,0,4,0,0.04,0.09,0.13,0.04,0.13,Matches
566,Lorenzo Tonelli,it ITA,DF,Empoli,24,1990,28,27,"2,296",25.5,5,0,5,5,0,0,5,2,0.2,0,0.2,0.2,0.2,Matches
567,Luca Toni,it ITA,FW,Hellas Verona,37,1977,38,36,"3,233",35.9,22,2,24,18,4,6,3,0,0.61,0.06,0.67,0.5,0.56,Matches
568,Vasilis Torosidis,gr GRE,"DF,MF",Roma,29,1985,20,17,"1,489",16.5,2,0,2,2,0,0,9,1,0.12,0,0.12,0.12,0.12,Matches
569,Fernando Torres,es ESP,FW,Milan,30,1984,10,7,589,6.5,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
570,Francesco Totti,it ITA,"FW,MF",Roma,37,1976,27,24,"1,728",19.2,8,6,14,4,4,4,5,0,0.42,0.31,0.73,0.21,0.52,Matches
571,Salih Uçan,tr TUR,MF,Roma,20,1994,4,2,165,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
572,Samir Ujkani,xk KVX,GK,Palermo,26,1988,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
573,Mirko Valdifiori,it ITA,MF,Empoli,28,1986,36,36,"3,201",35.6,0,6,6,0,0,0,7,1,0,0.17,0.17,0,0.17,Matches
574,Borja Valero,es ESP,MF,Fiorentina,29,1985,28,25,"2,163",24,2,2,4,2,0,0,7,0,0.08,0.08,0.17,0.08,0.17,Matches
575,Mattia Valoti,it ITA,"FW,MF",Hellas Verona,20,1993,10,1,186,2.1,1,0,1,1,0,0,4,0,0.48,0,0.48,0.48,0.48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
576,Luca Valzania,it ITA,MF,Cesena,18,1996,2,2,150,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
577,Silvestre Varela,pt POR,"FW,MF",Parma,29,1985,19,19,"1,611",17.9,3,1,4,3,0,0,3,0,0.17,0.06,0.22,0.17,0.22,Matches
578,Franco Vázquez,ar ARG,"FW,MF",Palermo,25,1989,37,37,"3,209",35.7,10,10,20,9,1,2,7,0,0.28,0.28,0.56,0.25,0.53,Matches
579,Matías Vecino,uy URU,"FW,MF",Empoli,22,1991,36,36,"2,985",33.2,2,3,5,2,0,0,6,0,0.06,0.09,0.15,0.06,0.15,Matches
580,Daniele Verde,it ITA,"FW,MF",Roma,18,1996,7,1,215,2.4,0,2,2,0,0,0,0,0,0,0.84,0.84,0,0.84,Matches
581,Simone Verdi,it ITA,"FW,MF",Empoli,22,1992,26,17,"1,434",15.9,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches
